,OAT,RelHum_Avg,CHW_Elec,Gas,HW_Heat
2014-01-01 05:00:00,3.6879850000000003,65.605,0.02,51.04,33.89
2014-01-01 06:00:00,3.5186225,65.8775,0.01,51.82,32.55
2014-01-01 08:00:00,4.3653575,67.1575,0.0066675,53.52,31.03
2014-01-01 09:00:00,4.8473299999999995,65.26,0.01,52.82,40.98
2014-01-01 11:00:00,4.9708075,66.3775,0.0066675,55.06,55.9
2014-01-01 12:00:00,23.9420075,66.215,0.01,58.32,50.85
2014-01-01 14:00:00,18.860084999999998,66.03,0.0066675,60.7,47.48
2014-01-01 16:00:00,6.493152499999999,65.6575,0.0066675,61.77,31.16
2014-01-01 17:00:00,6.4225375,66.27499999999999,0.01,61.63,21.95
2014-01-01 19:00:00,6.2426625,66.72,0.0066675,59.79,26.34
2014-01-01 20:00:00,5.890554999999999,67.19749999999999,0.01,58.5,26.55
2014-01-02 00:00:00,4.9632175,65.4025,0.0066675,57.76,32.52
2014-01-02 05:00:00,4.30611,65.8625,0.01,53.55,34.22
2014-01-02 06:00:00,4.13063,72.85,0.01,53.76,33.59
2014-01-02 08:00:00,3.8336300000000003,84.245,0.01,50.89,43.86
2014-01-02 09:00:00,3.9780425,92.3,0.01,51.53,45.13
2014-01-02 10:00:00,4.3935725,94.05250000000001,0.01,53.56,45.0
2014-01-02 12:00:00,99.29599250000001,93.675,0.013332499999999999,59.65,34.27
2014-01-02 13:00:00,140.891755,92.2675,0.01,62.86,30.8
2014-01-02 15:00:00,48.836772499999995,95.6125,0.016667500000000002,62.83,31.81
2014-01-02 16:00:00,15.247837500000001,92.375,0.0066675,61.47,32.88
2014-01-02 17:00:00,6.8213825,92.0475,0.013332499999999999,59.93,33.56
2014-01-02 18:00:00,6.2036775,88.82499999999999,0.01,59.86,29.86
2014-01-02 20:00:00,5.8566425,85.595,0.01,58.11,34.12
2014-01-03 00:00:00,4.925070000000001,85.2925,0.0066675,55.52,36.73
2014-01-03 05:00:00,4.7676074999999996,85.2425,0.013332499999999999,53.82,38.84
2014-01-03 06:00:00,4.181765,85.47999999999999,0.01,55.15,35.58
2014-01-03 08:00:00,4.1067975,85.685,0.01,53.47,41.83
2014-01-03 09:00:00,5.032285,92.91250000000001,0.01,56.58,38.26
2014-01-03 11:00:00,55.9869475,92.66499999999999,0.013332499999999999,57.59,46.94
2014-01-03 12:00:00,94.96658749999999,91.52000000000001,0.01,59.66,46.38
2014-01-03 13:00:00,128.4707625,91.8925,0.0133325,61.66,44.84
2014-01-03 15:00:00,69.940395,93.52,0.01,61.52,42.69
2014-01-03 16:00:00,8.390202500000001,92.6975,0.01,60.86,45.16
2014-01-03 18:00:00,6.40207,89.15,0.01,58.75,44.46
2014-01-03 19:00:00,6.113715,87.8925,0.0133325,57.98,46.82
2014-01-03 21:00:00,5.8688649999999996,82.9525,0.0066675,57.39,39.83
2014-01-04 05:00:00,4.4110225,84.89500000000001,0.016667500000000002,53.81,45.43
2014-01-04 06:00:00,3.6480799999999998,82.9025,0.01,51.46,57.33
2014-01-04 07:00:00,3.5582775,84.2225,0.01,51.13,58.46
2014-01-04 09:00:00,4.37985,82.42500000000001,0.01,54.46,48.85
2014-01-04 11:00:00,52.4355925,85.455,0.01,56.72,47.35
2014-01-04 12:00:00,61.175110000000004,83.32749999999999,0.0066675,61.65,29.23
2014-01-04 14:00:00,65.98725,82.9525,0.01,66.15,18.09
2014-01-04 16:00:00,7.834919999999999,85.34,0.01,64.3,14.64
2014-01-04 17:00:00,6.493527499999999,87.44,0.0066675,60.19,18.91
2014-01-04 19:00:00,5.81518,82.6425,0.01,58.98,14.54
2014-01-04 21:00:00,5.232345,81.6525,0.01,57.3,27.25
2014-01-05 05:00:00,4.2366825,84.92499999999998,0.0066675,54.67,11.72
2014-01-05 06:00:00,3.9399125000000006,83.265,0.01,54.19,11.78
2014-01-05 07:00:00,3.71406,83.285,0.01,53.54,12.91
2014-01-05 08:00:00,3.9523475000000006,81.72749999999999,0.01,54.81,11.69
2014-01-05 09:00:00,4.516072500000001,81.0725,0.0066675,56.1,11.24
2014-01-05 11:00:00,4.9055175,81.94749999999999,0.01,58.46,15.07
2014-01-05 12:00:00,5.518335,89.98750000000001,0.0066675,60.96,14.62
2014-01-05 14:00:00,7.1988125,90.63750000000002,0.01,64.86,13.59
2014-01-05 15:00:00,6.525752499999999,91.205,0.0066675,64.36,13.02
2014-01-05 17:00:00,6.25367,91.16999999999999,0.0066675,61.12,11.21
2014-01-05 19:00:00,6.0065100000000005,90.21,0.01,60.78,9.63
2014-01-05 20:00:00,5.4385175,88.71000000000001,0.0066675,57.42,22.27
2014-01-06 00:00:00,4.938947499999999,91.4925,0.0066675,56.73,26.7
2014-01-06 05:00:00,4.3529475,91.985,0.01,53.77,36.51
