Facility,Building 15
Meter name,HW
Meter id,lbnl_building15_hot_water
Description,HW BTU meter - plant efficiency NOT included
Timestamp,Building 15 - HW (thm/hour)
1/1/14 0:00,1.95472
1/1/14 0:15,1.92565
1/1/14 0:30,2.03174
1/1/14 0:45,1.94952
1/1/14 1:00,2.24018
1/1/14 1:15,2.10163
1/1/14 1:30,1.97584
1/1/14 1:45,2.27424
1/1/14 2:00,2.03678
1/1/14 2:15,1.87708
1/1/14 2:30,2.16176
1/1/14 2:45,2.37298
1/1/14 3:00,2.09984
1/1/14 3:15,2.25541
1/1/14 3:30,2.16296
1/1/14 3:45,2.12269
1/1/14 4:00,2.10633
1/1/14 4:15,2.15005
1/1/14 4:30,2.30723
1/1/14 4:45,2.0599
1/1/14 5:00,2.09006
1/1/14 5:15,2.08816
1/1/14 5:30,2.32853
1/1/14 5:45,2.52647
1/1/14 6:00,2.2058
1/1/14 6:15,2.14299
1/1/14 6:30,2.43833
1/1/14 6:45,2.00133
1/1/14 7:00,2.36461
1/1/14 7:15,1.94702
1/1/14 7:30,2.14328
1/1/14 7:45,1.96686
1/1/14 8:00,2.01977
1/1/14 8:15,1.88598
1/1/14 8:30,1.87068
1/1/14 8:45,2.02175
1/1/14 9:00,1.61278
1/1/14 9:15,1.36076
1/1/14 9:30,1.18217
1/1/14 9:45,1.34242
1/1/14 10:00,1.56611
1/1/14 10:15,1.45786
1/1/14 10:30,1.15248
1/1/14 10:45,0.94082
1/1/14 11:00,0.86846
1/1/14 11:15,0.76901
1/1/14 11:30,0.60623
1/1/14 11:45,0.74778
1/1/14 12:00,0.88171
1/1/14 12:15,0.80557
1/1/14 12:30,0.56933
1/1/14 12:45,0.61277
1/1/14 13:00,0.51256
1/1/14 13:15,0.44821
1/1/14 13:30,0.42663
1/1/14 13:45,0.40199
1/1/14 14:00,0.42385
1/1/14 14:15,0.40541
1/1/14 14:30,0.35739
1/1/14 14:45,0.31166
1/1/14 15:00,0.2777
1/1/14 15:15,0.30574
1/1/14 15:30,0.34561
1/1/14 15:45,0.27196
1/1/14 16:00,0.28124
1/1/14 16:15,0.30075
1/1/14 16:30,0.28907
1/1/14 16:45,0.30601
1/1/14 17:00,0.47559
1/1/14 17:15,0.48106
1/1/14 17:30,0.60472
1/1/14 17:45,0.40671
1/1/14 18:00,0.6171
1/1/14 18:15,0.58995
1/1/14 18:30,0.64498
1/1/14 18:45,0.59533
1/1/14 19:00,0.71699
1/1/14 19:15,0.56412
1/1/14 19:30,0.64062
1/1/14 19:45,0.50689
1/1/14 20:00,0.62529
1/1/14 20:15,0.7461
1/1/14 20:30,0.76157
1/1/14 20:45,1.04569
1/1/14 21:00,1.04628
1/1/14 21:15,1.19138
1/1/14 21:30,1.06126
1/1/14 21:45,1.14683
1/1/14 22:00,1.06001
1/1/14 22:15,1.17422
1/1/14 22:30,1.46846
1/1/14 22:45,1.77762
1/1/14 23:00,1.29219
1/1/14 23:15,1.19846
1/1/14 23:30,1.25418
1/1/14 23:45,1.38423
1/2/14 0:00,1.60795
1/2/14 0:15,1.75762
1/2/14 0:30,1.69433
1/2/14 0:45,1.62202
1/2/14 1:00,1.52976
1/2/14 1:15,1.23249
1/2/14 1:30,1.24884
1/2/14 1:45,1.24691
1/2/14 2:00,1.38849
1/2/14 2:15,1.68538
1/2/14 2:30,1.66576
1/2/14 2:45,1.58187
1/2/14 3:00,1.60673
1/2/14 3:15,1.26562
1/2/14 3:30,1.30202
1/2/14 3:45,1.39461
1/2/14 4:00,1.76835
1/2/14 4:15,1.44827
1/2/14 4:30,1.79966
1/2/14 4:45,1.46025
1/2/14 5:00,1.4534
1/2/14 5:15,1.85714
1/2/14 5:30,1.98103
1/2/14 5:45,2.03454
1/2/14 6:00,1.77149
1/2/14 6:15,2.07946
1/2/14 6:30,1.92033
1/2/14 6:45,1.68076
1/2/14 7:00,1.90174
1/2/14 7:15,1.90713
1/2/14 7:30,1.88712
1/2/14 7:45,1.94923
1/2/14 8:00,1.90843
1/2/14 8:15,1.90029
1/2/14 8:30,1.68565
1/2/14 8:45,1.86126
1/2/14 9:00,1.51171
1/2/14 9:15,1.33005
1/2/14 9:30,1.25133
1/2/14 9:45,1.27976
1/2/14 10:00,1.24014
1/2/14 10:15,1.06308
1/2/14 10:30,0.92807
1/2/14 10:45,0.78009
1/2/14 11:00,0.72295
1/2/14 11:15,0.69376
1/2/14 11:30,0.87466
1/2/14 11:45,1.08566
1/2/14 12:00,0.81131
1/2/14 12:15,0.60715
1/2/14 12:30,0.84342
1/2/14 12:45,0.82442
1/2/14 13:00,0.83363
1/2/14 13:15,0.6901
1/2/14 13:30,0.61756
1/2/14 13:45,0.57049
1/2/14 14:00,0.52123
1/2/14 14:15,0.44112
1/2/14 14:30,0.41648
1/2/14 14:45,0.51461
1/2/14 15:00,0.48129
1/2/14 15:15,0.56572
1/2/14 15:30,0.33033
1/2/14 15:45,0.28503
1/2/14 16:00,0.30347
1/2/14 16:15,0.38832
1/2/14 16:30,0.3823
1/2/14 16:45,0.3928
1/2/14 17:00,0.39205
1/2/14 17:15,0.27857
1/2/14 17:30,0.41738
1/2/14 17:45,0.53089
1/2/14 18:00,0.48446
1/2/14 18:15,0.63587
1/2/14 18:30,0.65874
1/2/14 18:45,0.6929
1/2/14 19:00,0.56381
1/2/14 19:15,0.52869
1/2/14 19:30,0.52816
1/2/14 19:45,0.55549
1/2/14 20:00,0.67813
1/2/14 20:15,0.85243
1/2/14 20:30,0.81325
1/2/14 20:45,0.71459
1/2/14 21:00,0.8477
