date_time,Temp_Avg,RelHum_Avg
2014-01-01 00:00:00,54.0,31.93
2014-01-01 01:00:00,53.09,33.08
2014-01-01 02:00:00,52.58,33.14
2014-01-01 03:00:00,53.81,28.59
2014-01-01 04:00:00,54.01,27.18
2014-01-01 05:00:00,51.04,33.89
2014-01-01 06:00:00,51.82,32.55
2014-01-01 07:00:00,53.89,27.37
2014-01-01 08:00:00,53.52,31.03
2014-01-01 09:00:00,52.82,40.98
2014-01-01 10:00:00,53.07,54.87
2014-01-01 11:00:00,55.06,55.9
2014-01-01 12:00:00,58.32,50.85
2014-01-01 13:00:00,60.69,46.65
2014-01-01 14:00:00,60.7,47.48
2014-01-01 15:00:00,60.75,42.56
2014-01-01 16:00:00,61.77,31.16
2014-01-01 17:00:00,61.63,21.95
2014-01-01 18:00:00,61.06,26.31
2014-01-01 19:00:00,59.79,26.34
2014-01-01 20:00:00,58.5,26.55
2014-01-01 21:00:00,57.96,27.17
2014-01-01 22:00:00,56.55,30.38
2014-01-01 23:00:00,58.0,30.16
2014-01-02 00:00:00,57.76,32.52
2014-01-02 01:00:00,57.67,29.91
2014-01-02 02:00:00,57.21,30.0
2014-01-02 03:00:00,57.28,30.52
2014-01-02 04:00:00,56.13,31.72
2014-01-02 05:00:00,53.55,34.22
2014-01-02 06:00:00,53.76,33.59
2014-01-02 07:00:00,53.29,34.3
2014-01-02 08:00:00,50.89,43.86
2014-01-02 09:00:00,51.53,45.13
2014-01-02 10:00:00,53.56,45.0
2014-01-02 11:00:00,56.71,41.3
2014-01-02 12:00:00,59.65,34.27
2014-01-02 13:00:00,62.86,30.8
2014-01-02 14:00:00,63.99,29.86
2014-01-02 15:00:00,62.83,31.81
2014-01-02 16:00:00,61.47,32.88
2014-01-02 17:00:00,59.93,33.56
2014-01-02 18:00:00,59.86,29.86
2014-01-02 19:00:00,60.04,30.23
2014-01-02 20:00:00,58.11,34.12
2014-01-02 21:00:00,58.15,32.17
2014-01-02 22:00:00,56.31,36.75
2014-01-02 23:00:00,56.2,36.33
2014-01-03 00:00:00,55.52,36.73
2014-01-03 01:00:00,56.18,33.74
2014-01-03 02:00:00,58.61,29.22
2014-01-03 03:00:00,57.84,30.09
2014-01-03 04:00:00,55.79,33.24
2014-01-03 05:00:00,53.82,38.84
2014-01-03 06:00:00,55.15,35.58
2014-01-03 07:00:00,54.58,37.54
2014-01-03 08:00:00,53.47,41.83
2014-01-03 09:00:00,56.58,38.26
2014-01-03 10:00:00,54.24,50.11
2014-01-03 11:00:00,57.59,46.94
2014-01-03 12:00:00,59.66,46.38
2014-01-03 13:00:00,61.66,44.84
2014-01-03 14:00:00,62.18,43.62
2014-01-03 15:00:00,61.52,42.69
2014-01-03 16:00:00,60.86,45.16
2014-01-03 17:00:00,60.02,44.86
2014-01-03 18:00:00,58.75,44.46
2014-01-03 19:00:00,57.98,46.82
2014-01-03 20:00:00,57.41,44.41
2014-01-03 21:00:00,57.39,39.83
2014-01-03 22:00:00,56.89,38.81
2014-01-03 23:00:00,53.92,46.25
2014-01-04 00:00:00,51.26,55.68
2014-01-04 01:00:00,55.6,39.48
2014-01-04 02:00:00,55.56,40.41
2014-01-04 03:00:00,55.25,40.15
2014-01-04 04:00:00,55.31,41.26
2014-01-04 05:00:00,53.81,45.43
2014-01-04 06:00:00,51.46,57.33
2014-01-04 07:00:00,51.13,58.46
2014-01-04 08:00:00,51.08,59.7
2014-01-04 09:00:00,54.46,48.85
2014-01-04 10:00:00,57.54,36.15
2014-01-04 11:00:00,56.72,47.35
2014-01-04 12:00:00,61.65,29.23
2014-01-04 13:00:00,64.84,21.6
2014-01-04 14:00:00,66.15,18.09
2014-01-04 15:00:00,66.01,15.98
2014-01-04 16:00:00,64.3,14.64
2014-01-04 17:00:00,60.19,18.91
2014-01-04 18:00:00,59.11,15.12
2014-01-04 19:00:00,58.98,14.54
2014-01-04 20:00:00,59.48,13.98
2014-01-04 21:00:00,57.3,27.25
2014-01-04 22:00:00,57.26,28.72
2014-01-04 23:00:00,55.67,18.28
2014-01-05 00:00:00,55.06,13.0
2014-01-05 01:00:00,56.26,11.68
2014-01-05 02:00:00,55.76,11.53
2014-01-05 03:00:00,55.81,11.35
2014-01-05 04:00:00,55.26,11.44
2014-01-05 05:00:00,54.67,11.72
2014-01-05 06:00:00,54.19,11.78
2014-01-05 07:00:00,53.54,12.91
2014-01-05 08:00:00,54.81,11.69
2014-01-05 09:00:00,56.1,11.24
2014-01-05 10:00:00,57.12,12.83
2014-01-05 11:00:00,58.46,15.07
2014-01-05 12:00:00,60.96,14.62
2014-01-05 13:00:00,63.8,13.4
2014-01-05 14:00:00,64.86,13.59
2014-01-05 15:00:00,64.36,13.02
2014-01-05 16:00:00,63.03,12.93
2014-01-05 17:00:00,61.12,11.21
2014-01-05 18:00:00,60.82,10.06
2014-01-05 19:00:00,60.78,9.63
2014-01-05 20:00:00,57.42,22.27
2014-01-05 21:00:00,56.82,22.28
2014-01-05 22:00:00,56.74,24.22
2014-01-05 23:00:00,57.34,26.18
2014-01-06 00:00:00,56.73,26.7
2014-01-06 01:00:00,56.56,30.77
2014-01-06 02:00:00,56.59,31.4
2014-01-06 03:00:00,57.41,30.57
2014-01-06 04:00:00,56.26,31.82
2014-01-06 05:00:00,53.77,36.51
2014-01-06 06:00:00,52.24,40.64
2014-01-06 07:00:00,51.82,43.13
2014-01-06 08:00:00,51.72,44.86
2014-01-06 09:00:00,52.43,45.9
2014-01-06 10:00:00,53.11,47.2
2014-01-06 11:00:00,53.53,48.76
2014-01-06 12:00:00,54.68,50.2
2014-01-06 13:00:00,57.63,45.0
2014-01-06 14:00:00,55.43,47.8
2014-01-06 15:00:00,56.63,46.17
2014-01-06 16:00:00,56.52,44.6
2014-01-06 17:00:00,56.11,44.08
2014-01-06 18:00:00,56.08,41.56
2014-01-06 19:00:00,56.43,39.09
2014-01-06 20:00:00,57.37,33.37
2014-01-06 21:00:00,56.79,30.57
2014-01-06 22:00:00,54.67,38.95
2014-01-06 23:00:00,52.4,45.74
2014-01-07 00:00:00,52.25,41.79
2014-01-07 01:00:00,52.39,39.68
2014-01-07 02:00:00,52.72,39.06
2014-01-07 03:00:00,53.54,38.19
2014-01-07 04:00:00,50.75,47.45
2014-01-07 05:00:00,49.9,53.38
2014-01-07 06:00:00,51.39,50.03
2014-01-07 07:00:00,51.75,49.6
2014-01-07 08:00:00,51.75,51.23
2014-01-07 09:00:00,51.57,54.64
2014-01-07 10:00:00,52.2,56.65
2014-01-07 11:00:00,53.13,57.1
2014-01-07 12:00:00,55.42,49.48
2014-01-07 13:00:00,55.84,48.26
2014-01-07 14:00:00,56.76,48.28
2014-01-07 15:00:00,56.68,48.33
2014-01-07 16:00:00,55.32,56.91
2014-01-07 17:00:00,53.81,54.98
2014-01-07 18:00:00,52.92,58.84
2014-01-07 19:00:00,50.39,73.62
2014-01-07 20:00:00,47.78,90.7
2014-01-07 21:00:00,48.55,93.3
2014-01-07 22:00:00,49.7,92.3
2014-01-07 23:00:00,50.41,91.2
2014-01-08 00:00:00,50.52,90.5
2014-01-08 01:00:00,50.16,92.7
2014-01-08 02:00:00,49.71,93.6
2014-01-08 03:00:00,49.38,94.1
2014-01-08 04:00:00,49.22,94.2
2014-01-08 05:00:00,48.6,94.3
2014-01-08 06:00:00,48.33,94.4
2014-01-08 07:00:00,48.41,94.4
2014-01-08 08:00:00,48.27,94.4
2014-01-08 09:00:00,48.52,94.1
2014-01-08 10:00:00,49.5,90.7
2014-01-08 11:00:00,52.04,80.1
2014-01-08 12:00:00,52.89,75.57
2014-01-08 13:00:00,53.4,74.73
2014-01-08 14:00:00,53.43,76.12
2014-01-08 15:00:00,51.21,87.0
2014-01-08 16:00:00,50.33,90.8
2014-01-08 17:00:00,50.17,89.5
2014-01-08 18:00:00,49.91,87.5
2014-01-08 19:00:00,49.62,87.2
2014-01-08 20:00:00,49.59,86.3
2014-01-08 21:00:00,49.28,85.0
2014-01-08 22:00:00,48.94,86.2
2014-01-08 23:00:00,48.07,88.4
2014-01-09 00:00:00,47.86,89.7
2014-01-09 01:00:00,48.0,89.6
2014-01-09 02:00:00,47.56,89.8
2014-01-09 03:00:00,47.58,88.9
2014-01-09 04:00:00,48.05,89.6
